"protein_id","pvalue","qvalue","signif","signif_threshold_qvalue","signif_threshold_log2fc","contrast","foldchange.log2","effectsize","tstatistic","standarddeviation","standarderror","dea_algorithm","peptides_used_for_dea"
"A0A9D5AAS6",0.00166607890733861,0.00465321295729282,TRUE,0.05,0.584962500721156,"contrast: Axillary_Buds_0h vs Axillary_Buds_2h",-0.61305062136254,-4.10444955520045,-5.02690354261724,0.149362445101996,0.121953925744785,"ebayes",3
"A0A9D4YCE0",0.0032808407260323,0.0079428821393507,FALSE,0.05,0.584962500721156,"contrast: Axillary_Buds_0h vs Axillary_Buds_2h",-0.492978312941701,-3.61795765842515,-4.43107508706812,0.1362587292291,0.111254786537117,"ebayes",12
"A0A9D4W523",0.00534764984874089,0.0117997056445043,FALSE,0.05,0.584962500721156,"contrast: Axillary_Buds_0h vs Axillary_Buds_2h",-0.582340302743353,-3.28843114456845,-4.02748917923458,0.177087576762923,0.144591400951703,"ebayes",6
"A0A9D4ZZL0",0.0450663765934577,0.0712220665509685,FALSE,0.05,0.584962500721156,"contrast: Axillary_Buds_0h vs Axillary_Buds_2h",0.326903671374781,2.00184305386117,2.45174701354735,0.163301349096397,0.133334993198093,"ebayes",4
"A0A9D4X6I0",0.800591559839432,0.835578851657608,FALSE,0.05,0.584962500721156,"contrast: Axillary_Buds_0h vs Axillary_Buds_2h",0.0420791681956071,0.214480560100885,0.262683965996754,0.196191058881114,0.16018932878502,"ebayes",7
"A0A9D4W0M6",0.000683450647901421,0.00240204329661295,TRUE,0.05,0.584962500721156,"contrast: Axillary_Buds_0h vs Axillary_Buds_2h",-1.39887375687557,-4.80488111784478,-5.88475350672668,0.291135976638488,0.23771152951038,"ebayes",2
"A0A9D5BDN6",0.0650614596170157,0.0975441381259542,FALSE,0.05,0.584962500721156,"contrast: Axillary_Buds_0h vs Axillary_Buds_2h",0.262702287086926,1.79525189380331,2.19872554979164,0.146331714225563,0.119479344346465,"ebayes",2
"P12859",0.0989446677367824,0.139484496878936,FALSE,0.05,0.584962500721156,"contrast: Axillary_Buds_0h vs Axillary_Buds_2h",0.365567823946337,1.56029831831447,1.91096736319657,0.234293544801897,0.191299878264186,"ebayes",16
"A0A9D4W9Q7",0.891001204168275,0.90975355348274,FALSE,0.05,0.584962500721156,"contrast: Axillary_Buds_0h vs Axillary_Buds_2h",0.015174577397024,0.116160775082905,0.14226731353966,0.130634264330569,0.106662430177918,"ebayes",4
"A0A9D4XIS7",0.0040850996529766,0.00946121197437821,TRUE,0.05,0.584962500721156,"contrast: Axillary_Buds_0h vs Axillary_Buds_2h",0.614510108338928,3.46803613801098,4.24745947382964,0.177192533146834,0.144677097480313,"ebayes",5
"A0A9D4W7F2",0.000190336620719748,0.00100359309106776,TRUE,0.05,0.584962500721156,"contrast: Axillary_Buds_0h vs Axillary_Buds_2h",-1.09811242106922,-5.95494173300238,-7.2932843469304,0.184403554275513,0.150564871576877,"ebayes",1
"A0A9D4XV13",4.45730142437752e-06,0.000111707677672671,TRUE,0.05,0.584962500721156,"contrast: Axillary_Buds_0h vs Axillary_Buds_2h",1.4862022682688,10.73790188346,13.1511902612737,0.138407138042308,0.113008954987536,"ebayes",10
"A0A9D4WGN5",0.00162134412322692,0.0045793587021009,TRUE,0.05,0.584962500721156,"contrast: Axillary_Buds_0h vs Axillary_Buds_2h",-0.930221447334736,-4.12477274908207,-5.05179427009405,0.22552065384493,0.184136842792971,"ebayes",1
"A0A9D4WG64",0.000179736997778537,0.000973464737464888,TRUE,0.05,0.584962500721156,"contrast: Axillary_Buds_0h vs Axillary_Buds_2h",-0.90602842142516,-6.01106526927724,-7.3620213601474,0.150726764864109,0.123067888165842,"ebayes",2
"A0A9D4W2L4",0.138835572426286,0.186708321977715,FALSE,0.05,0.584962500721156,"contrast: Axillary_Buds_0h vs Axillary_Buds_2h",-0.227399513172559,-1.36913887252192,-1.67684581234409,0.166089443325566,0.135611462603514,"ebayes",2
"A0A9D4WG15;A0A9D4WHS8",0.000174633472542532,0.000955541642213856,TRUE,0.05,0.584962500721156,"contrast: Axillary_Buds_0h vs Axillary_Buds_2h",1.31890221321625,6.03943958472412,7.39677265747022,0.21838155589009,0.178307793721936,"ebayes",2
"P27456",0.250742631292267,0.311605473843467,FALSE,0.05,0.584962500721156,"contrast: Axillary_Buds_0h vs Axillary_Buds_2h",0.176058697202363,1.02526807594348,1.2556918178133,0.171719671501864,0.140208524659304,"ebayes",7
"A0A9D4VRD4",0.000130970363004868,0.000774002436389759,TRUE,0.05,0.584962500721156,"contrast: Axillary_Buds_0h vs Axillary_Buds_2h",1.46232889181481,6.32885983104913,7.75123861983366,0.231057241091149,0.188657447349517,"ebayes",2
"A0A9D4YLX4",0.0436450195325148,0.0693808846131598,FALSE,0.05,0.584962500721156,"contrast: Axillary_Buds_0h vs Axillary_Buds_2h",0.315447210426641,2.01996951330839,2.47394730179182,0.156164342257814,0.127507651516332,"ebayes",15
"A0A9D4VTU5",0.00131940692038876,0.00390721524199734,FALSE,0.05,0.584962500721156,"contrast: Axillary_Buds_0h vs Axillary_Buds_2h",0.579683162868905,4.28074069247277,5.24281520886331,0.135416556272193,0.110567155197252,"ebayes",9
"A0A9D4VT80",0.0587492137887606,0.0896361548223856,FALSE,0.05,0.584962500721156,"contrast: Axillary_Buds_0h vs Axillary_Buds_2h",-0.407654786277089,-1.85250952022605,-2.26885153410094,0.220055433899927,0.179674509393858,"ebayes",6
"A0A9D4Y3M5",0.00745762021864943,0.0155351144626561,TRUE,0.05,0.584962500721156,"contrast: Axillary_Buds_0h vs Axillary_Buds_2h",0.684764216520178,3.07306371572861,3.7637190252982,0.222827861659817,0.181938187180677,"ebayes",13
"A0A9D4ZY36",0.831021801349119,0.860819889494004,FALSE,0.05,0.584962500721156,"contrast: Axillary_Buds_0h vs Axillary_Buds_2h",-0.0538965320444269,-0.181072310846017,-0.221767384059683,0.297651981093123,0.243031824868899,"ebayes",4
"A0A9D4X9E0",0.000130874608560148,0.000774002436389759,TRUE,0.05,0.584962500721156,"contrast: Axillary_Buds_0h vs Axillary_Buds_2h",1.16977096337595,6.32960970537027,7.75215702456266,0.184809335460838,0.1508961905273,"ebayes",4
"A0A9D4X406",6.98064874994344e-06,0.000131210342244307,TRUE,0.05,0.584962500721156,"contrast: Axillary_Buds_0h vs Axillary_Buds_2h",-1.4033397283456,-10.0262321959127,-12.2795764613253,0.139966809158648,0.114282421121399,"ebayes",5
"A0A9D5AEN7;A0A9D5AEW7",0.000195937429292594,0.0010185735760921,TRUE,0.05,0.584962500721156,"contrast: Axillary_Buds_0h vs Axillary_Buds_2h",1.56140275088023,5.9266963550862,7.25869096518704,0.26345246277722,0.215108035094589,"ebayes",1
"A0A9D4VP91",0.000299256538543307,0.00136619932699844,TRUE,0.05,0.584962500721156,"contrast: Axillary_Buds_0h vs Axillary_Buds_2h",1.36605061416261,5.52617291937646,6.7681519414294,0.247196501827298,0.201835098559283,"ebayes",4
"A0A9D4Y8V1",0.0101069126525037,0.0200068578104169,FALSE,0.05,0.584962500721156,"contrast: Axillary_Buds_0h vs Axillary_Buds_2h",0.542745938013582,2.88189754124121,3.52958923351121,0.188329366414541,0.153770283765758,"ebayes",21
"A0A9D5BP31",0.0028799974141229,0.0071167312850511,TRUE,0.05,0.584962500721156,"contrast: Axillary_Buds_0h vs Axillary_Buds_2h",0.745271910634456,3.70872370659296,4.54224033905813,0.20095104666589,0.164075842536547,"ebayes",7
"A0A9D4VTA1",0.113567339030147,0.156671218641657,FALSE,0.05,0.584962500721156,"contrast: Axillary_Buds_0h vs Axillary_Buds_2h",0.50830152958151,1.48278233851745,1.81603006448927,0.342802524940871,0.279897089547612,"ebayes",4
"A0A9D4YKT7",0.000416540944976276,0.00167110300059652,TRUE,0.05,0.584962500721156,"contrast: Axillary_Buds_0h vs Axillary_Buds_2h",0.890779205426692,5.22829490136732,6.40332736657241,0.170376618425585,0.139111926414518,"ebayes",7
"A0A9D4Y9M6",4.46979469803574e-05,0.000388915522036959,TRUE,0.05,0.584962500721156,"contrast: Axillary_Buds_0h vs Axillary_Buds_2h",1.35829566910278,7.51475123210298,9.20365303130176,0.180750583372627,0.147582233324442,"ebayes",5
"P05493",0.000301249424577343,0.0013662191072522,TRUE,0.05,0.584962500721156,"contrast: Axillary_Buds_0h vs Axillary_Buds_2h",0.898624362400074,5.52006905156797,6.7606762606353,0.162792232127028,0.132919300933311,"ebayes",18
"A0A9D5B2S5",0.00352528281238236,0.00846902261436237,TRUE,0.05,0.584962500721156,"contrast: Axillary_Buds_0h vs Axillary_Buds_2h",-0.788358534465693,-3.56843939818191,-4.37042785179498,0.220925297166979,0.18038474977728,"ebayes",9
"A0A9D5ADC7",0.795242599613896,0.831492391046206,FALSE,0.05,0.584962500721156,"contrast: Axillary_Buds_0h vs Axillary_Buds_2h",-0.043997275677219,-0.220393576989018,-0.269925903104947,0.199630480517185,0.162997604791241,"ebayes",7
"A0A9D4ZV44;A0A9D4ZW78",0.22631854966639,0.285711269914459,FALSE,0.05,0.584962500721156,"contrast: Axillary_Buds_0h vs Axillary_Buds_2h",-0.172680713866491,-1.08637673440647,-1.33053433386346,0.158951041933749,0.129782982273805,"ebayes",4
"A0A9D4VSZ6",0.15612757736278,0.207081987616101,FALSE,0.05,0.584962500721156,"contrast: Axillary_Buds_0h vs Axillary_Buds_2h",0.347800335755035,1.30220280108982,1.59486620214651,0.267086152375006,0.218074930227334,"ebayes",6
"A0A9D4WAX1;A0A9D4WD99",0.0443749621852017,0.0703209783262759,FALSE,0.05,0.584962500721156,"contrast: Axillary_Buds_0h vs Axillary_Buds_2h",-0.326666870963663,-2.01058564240095,-2.46245445402413,0.162473492337075,0.132659050984608,"ebayes",4
"A0A9D5BN33",2.21443568013533e-06,8.03621113627516e-05,TRUE,0.05,0.584962500721156,"contrast: Axillary_Buds_0h vs Axillary_Buds_2h",2.15719368631519,11.9425404386305,14.6265651535993,0.180631055628444,0.14748463932999,"ebayes",11
"A0A9D5AKM1;C0LYY9",0.813267032607892,0.845799143346031,FALSE,0.05,0.584962500721156,"contrast: Axillary_Buds_0h vs Axillary_Buds_2h",-0.0709296626380228,-0.200518618286994,-0.245584149365524,0.353731056217952,0.288820197969911,"ebayes",17
"A0A9D5BL94",0.108369253496803,0.150626213350572,FALSE,0.05,0.584962500721156,"contrast: Axillary_Buds_0h vs Axillary_Buds_2h",-0.303411165469398,-1.50916273696511,-1.84833932219332,0.201046022431981,0.164153389924831,"ebayes",4
